,maker_num,model_num,detail_num,cost,exchange
439,1,8,34,185400,Wheel:exchange
440,97,162,162,849760,Wheel:exchange
441,97,156,156,206478,"Front bumper:exchange,coating"
442,1,15,39,260638,"Front bumper:sheet_metal,exchange,coating"
443,1,15,40,1198448,"Rear bumper:coating,exchange"
444,1,15,39,499898,"Rear bumper:coating,exchange"
445,97,99,99,481658,"Rear bumper:coating,exchange"
446,81,95,95,358948,"Rear bumper:coating,exchange"
447,1,14,35,144378,"Front bumper:exchange,coating"
448,1,14,35,144378,"Front bumper:exchange,coating"
449,97,150,152,199938,"Front bumper:exchange,coating"
450,1,14,38,171748,"Front bumper:exchange,coating"
451,97,150,152,420028,"Front bumper:exchange,coating"
452,1,13,13,423238,"Rear bumper:coating,exchange"
453,97,105,106,353618,"Front bumper:exchange,coating"
454,97,99,99,437878,"Front bumper:exchange,coating"
455,1,14,38,225198,"Rear bumper:coating,exchange"
456,97,162,163,257008,"Rear bumper:coating,exchange"
457,97,150,152,329158,"Front bumper:exchange,coating"
458,1,13,13,324598,"Front bumper:exchange,coating"
459,71,76,76,92630,Front bumper:exchange
460,97,105,130,437778,"Rear bumper:coating,exchange"
461,97,99,99,712018,"Rear bumper:coating,exchange"
462,97,155,155,263498,"Front bumper:exchange,coating"
463,1,8,34,318558,"Rear bumper:coating,exchange"
464,81,81,81,400788,"Rear bumper:coating,exchange"
465,1,1,3,228438,"Front bumper:exchange,coating"
466,51,52,63,402418,"Rear bumper:repair,coating,exchange"
467,97,162,163,526718,"Front bumper:exchange,coating"
468,1,4,5,245358,"Front bumper:exchange,coating"
469,97,150,152,330229,"Bumper:coating,exchange"
470,97,114,114,592429,"Bumper:coating,exchange"
471,97,99,99,411138,"Rear bumper:coating,exchange"
472,81,96,96,470328,"Front bumper:exchange,coating"
473,1,14,38,244358,"Rear bumper:coating,exchange"
474,1,8,8,227928,"Front bumper:exchange,coating"
475,81,81,81,361378,"Rear bumper:coating,exchange"
476,97,150,152,158329,"Bumper:coating,exchange"
477,97,99,99,328878,"Front bumper:exchange,coating"
478,97,118,126,415758,"Bumper:coating,exchange"
479,97,99,99,273838,"Front bumper:exchange,coating"
480,97,150,152,595499,"Bumper:coating,exchange"
481,97,118,126,204389,"Bumper:coating,exchange"
482,97,114,114,166189,"Rear bumper:coating,exchange"
483,97,118,119,143549,"Rear bumper:coating,exchange"
484,97,150,152,222449,"Rear bumper:coating,exchange"
485,1,13,42,355038,"Front bumper:exchange,coating"
486,97,105,130,306458,"Rear bumper:coating,exchange"
487,1,15,40,250388,"Rear bumper:coating,exchange"
488,1,13,42,325600,Wheel:exchange
489,97,114,149,580509,"Bumper:coating,exchange"
490,97,99,99,335309,"Bumper:coating,exchange"
491,97,162,163,173860,Wheel:exchange
492,97,150,152,209659,"Rear bumper:coating,exchange"
493,81,81,81,840019,"Bumper:coating,exchange"
494,1,14,37,321319,"Bumper:coating,exchange"
495,1,1,1,406228,"Rear bumper:coating,exchange"
496,1,8,34,519508,"Front bumper:exchange,coating"
497,1,10,12,7827618,"Rear bumper:coating,exchange;Bumper:coating,exchange"
498,1,10,12,8807518,"Rear bumper:coating,exchange;Bumper:coating,exchange"
499,1,14,35,371479,"Bumper:coating,exchange"
500,1,15,40,821778,"Rear bumper:coating,exchange"
501,1,15,40,278918,"Rear bumper:coating,exchange"
502,1,14,38,322869,Front bumper:exchange;Bumper:coating
503,97,105,130,342869,"Bumper:coating,exchange"
504,97,150,151,269109,"Bumper:coating,exchange"
505,1,14,37,435059,"Bumper:coating,exchange"
506,1,8,34,487553,"Rear bumper:coating,exchange"
507,97,105,130,428929,"Bumper:coating,exchange"
508,97,99,100,189449,"Bumper:coating,exchange"
509,97,105,128,200229,"Bumper:coating,exchange"
510,97,99,100,338649,"Bumper:coating,exchange"
511,1,22,23,173059,"Bumper:coating,exchange"
512,1,8,8,250000,"Front bumper:exchange,coating"
513,71,80,80,260000,"Front bumper:exchange,coating"
514,1,13,13,222000,"Rear bumper:coating,exchange"
515,97,105,106,275000,"Rear bumper:coating,exchange"
516,97,99,165,290000,"Rear bumper:coating,exchange"
517,1,30,30,250000,"Rear bumper:coating,exchange"
518,97,144,147,241548,"Rear bumper:coating,exchange"
519,97,118,122,285000,"Front bumper:exchange,coating"
520,97,114,114,310000,"Rear bumper:coating,exchange"
521,97,150,152,203000,"Front bumper:exchange,coating"
